< name, position, scale, colliderScale, colliderOffset >
casa_industrial.png,  -1000,     0, 0.40, 0.40, 0.9, 0.5, 1.0, 20.0,
casa_industrial.png,  -1000,   175, 0.40, 0.40, 0.9, 0.5, 1.0, 20.0,
casa_industrial.png,  -1000,   350, 0.40, 0.40, 0.9, 0.5, 1.0, 20.0,
casa_industrial.png,   -500,     0, 0.40, 0.40, 0.9, 0.5, 1.0, 20.0,
casa_industrial.png,   -500,   175, 0.40, 0.40, 0.9, 0.5, 1.0, 20.0,
casa_industrial.png,   -500,   350, 0.40, 0.40, 0.9, 0.5, 1.0, 20.0,
taverna.png,          -1000,   750, 0.15, 0.15, 0.9, 0.5, 1.0, 20.0,
casa_vertical.png,      450,     0, 0.15, 0.15, 0.9, 0.5, 1.0, 20.0,
casa_vertical.png,      650,     0, 0.15, 0.15, 0.9, 0.5, 1.0, 20.0,
casa_vertical.png,      950,     0, 0.15, 0.15, 0.9, 0.5, 1.0, 20.0,
casa_vertical.png,     1150,     0, 0.15, 0.15, 0.9, 0.5, 1.0, 20.0,
casa_vertical.png,      450,   450, 0.15, 0.15, 0.9, 0.5, 1.0, 20.0,
casa_vertical.png,      650,   450, 0.15, 0.15, 0.9, 0.5, 1.0, 20.0,
casa_vertical.png,      950,   450, 0.15, 0.15, 0.9, 0.5, 1.0, 20.0,
casa_vertical.png,     1150,   450, 0.15, 0.15, 0.9, 0.5, 1.0, 20.0,
casa_luna.png,         1650,     0, 0.15, 0.15, 0.9, 0.5, 1.0, 20.0,
